ID,Date ,Article name ,Publisher,Language,Location of published article ,Anecdote text,Author,Type of language,Keywords,Notes,Links,Contributor
001FC,8/18/1910,Lo que hace la felicidad en el hogar,El Regidor,Spanish,"San Antonio, TX","""La mujer con su trabajo, con su amor, con el cumplimiento de sus deberes domesticos es quien hace brotar esas flores que hermosean ese vergel encantador, ese oasis delicioso de la vida que se llama casa."", ""Las virtudes de la mujer hacen de ella un ser venerado que debe ocupar un lugar preferente en el santuario del hogar y en el altar del corazón de un hombre."", ""Una mujer sin virtudes sin amor, sin sensibilidad, sin inteligencia es un mueble, un maceton de flores pero no pasara de allí."" ""Vacio, trsite y desolado esta en el hogar de la mujer sin fé, sin corazón y sin virtud."" ""Cuerpo arido é inculto es el hogar de la mujer que no es activa, hacendosa, de afable trato y de dulce conversación."", ""Noche sin astros y sin luz es el hogar donde habita una mujer sin inteligencia y sin virtud."" , ""No es ese el dulce hogar que forman las delicias."", ""Feliz hogar el que guarda el tesoro de una mujer de buen corazón, de alma piedosa, de rostro afable, de dulce trato, de amable conversacion y ocupada siempre en los entretenimientos gratos de su casa y de sus tiernos hijos."" ,",N/A,Romaticized,"Hogar, la sacerdotiza, la mujer, el hombre, santuario, templo, trabajo, amor , deberes domesticos, virtudes de la mujer, ser venerado, mujer sin inteligencia, alma piadosa, rostro afable, dulce trato, amable conversación, entretenimientos de casa, paz, felicidad, resignación, fé, tristezas. ",,,Jessica Corona
002FC,11/24/1906,Consejos utiles a las jovenes,Clarin del Norte,Spanish,"El Paso, TX","""Mejor es no casarse que casarse mal"", ""cuando las muchachas no pueden hacer un buen matrimonio, lo aceptan mediano o malo"", ""las tormentas de la solteria, o marido o la verguenza!"", ""Para librarse de verguenza buscan novio"",""Nada importa que este se grosera, antipatico, o estupido"", ""Entonces el velo que cubria al ""bien amado"" desaparece por completo, y el que era atento y rendido caballero, modesto, de pulcra correción, decente y de buenas costumbres, se presenta tal cual es: grosero, violento, canalla, corroído por los más  repugnantes vicios"", ""La mujer debe elegir, no tomar marido""",N/A,,"Las mujeres, casarse, matrimonio, solteras, marido, novio, grosero, antipatico, estupido, matrimonial, ella, el , bien amado, violento, caballero, modesto, canalla, elegir, ",,,Jessica Corona
003FC,11/17/1906,Filosofía femenina,Clarin del  Norte,Spanish,"El Paso, TX","""Desde que Eva comió una en los jardines del Paraíso, la manzana es la fruta favorita del hombre"", ""Cuando una muchacha se interesa realmente por algún individuo , ""se lo demuestra tratándolo como si le antipatizara más que ningun otro"", ""La amistad entre dos mujeres es una especie de sociedad mercantil en la que cada una de las partes espera un favor de la otra"", ""El remedio más eficaz para la anemia ó depresión nerviosa en la mujer, es un vestido y un sombrero nuevos"", ""Conozco á muchos solteros que prefirirían cargar una barrica de dinamita, que cargar a una criatura por dos minutos"", ""En la tierra sólo existe una criatura más irracional que una mujer celosa; un hombre celoso"",",N/A,"Religious, marriage","Muchachas, viudas, casadas, hombre, mujer, Eva, paraiso, manzana,mujer celosa, hombre celoso , amistad dos mujeres, sociedad, anemia, depresion nerviosa en mujer, vestido, sombrero, solteros, criatura",Estos mensajes tiene sentidos religiosos,,Jessica Corona
004FC,1/20/1920,"Su piel puede hacerse blanca, suave y juvenil: Por medio del tratamiento por belleza negro y blanco",El Continental ,Spanish,"El Paso, TX","""Proporciona nueva energia, vigor, y más ambicion, y finalmente calma sus nervios, pone brillo en sus ojos y suavidad en su cutis"", ""su mente más despejada y mayor encanto personal, sin accesos de malhumor refunfuñar, convirtiendose en una persona más agradable y divertida"", ""muchas de estas mujeres han sido influenciadas por el consejo de sus doctores"" ""renueva los tejidos agotados del organismo"", ""ganar en rapido alimento de salud y atractivo""",N/A,Beauty/Belleza,"Mujeres, casadas, esposos, consérvense jóvenes, cutis, encanto, malhumor, agradable, divertida, La Quina Laroche, mujeres en varias partes del mundo, influenciadas, renovar, Dr.T Laroche (quimico)",Advertisement of product,https://articulo.mercadolibre.com.mx/MLM-2192492584-cartel-retro-medicina-quina-laroche-1909-carlos-muller-_JM#position=21&search_layout=grid&type=item&tracking_id=59e561a5-509d-4d0f-b396-d7b1577f4022,Jessica Corona
005FC,7/1/1936,Buzon femenino: La carrera matrimonial ya no es tan facil como antes,El Continental ,Spanish ,"El Paso, TX","""La esposa moderna, por muy moderna que sea, se da cuenta pronto de que para regir un hogar y hacer un esposo feliz se necesita otro bagaje que el de un hornillo eléctrico, un abrelatas y una cotelera"", ""Porque le felicidad de un matrimonio depende, no hay que olvidarlo, tanto de que la mujer sepa preparar un cocido como de que el marido sea capaz de aportar los ingredientes indispensables"", ""La esposa moderna va percatandose de su error al llegar tan poco prevenida al matrimonio, lo hacemos basandonos en el hecho de que basta que se anuncie un curso de ciencias domesticas o una clase de cocina para que inmediatamente quede la matrícula cubierta  y en su mayor parte por mujeres casadas lo cual es de lamentar"", ""Mujeres una vez convencidas de lo limitado de sus facultades domésticas no deban tratar de mejorar, sino porque deberian haber pensando en hacerlo antes"", ""En el noventa por ciento de los casos, la primera sombra que nubla la luna de miel suele ser proyectada por la ignorancia de la novia con relación a los quehaceres domesticos, en general, y la cuestion culinaria"", ""El novio suele abstenerse de preguntar, mientras esta en relaciones para casarse si su futura saber guisar. Acaso sea porque los hombres –ignoramos la causa– creen que la condición de buena cocinera es inherente a toda mujer, que es un don que les viene de naturaleza y que la nueva esposa sabra dar el punto de arroz lo mismo que lo hacía su propia madre. Y así ocurre que les coge de sopresa a todo marido el que su mejor no sepa distinguir entre el cordero lechal y la cabra montés"", ""Toda mujer con un poco de experiencia sabe que le éxito en el matrimonio depende más de su talento como ama de casa que de sus virtudes de esposa amante"", ""El saber hacer la vida confortable al marido le servirá mucho más que conservar éste que todas los atractivos físicos y encantos espirituales que el cielo le haya deparado"", ""Una madre, que conoce a fondo la cuestión y que no sueña sino con la carrera del matrimonio para sus hijas no las prepare mejor para ésta. A estas madres, pues, corresponde la responsabilidad de la ignorancia de las hijas en las cuestiones domésticas"", ""No se concibe tanta crueldad al lanzar a semejantes jóvenes inexperimentadas a la más complicada de todas las carreras sin darles siquiera las primeras nociones; ni se explica su falta de conciencia al imponer a un infeliz muchacho una esposa que acabara por envenenarle dándole mala comida"", ""Las madres suelen excusarse de la ignorancia en que mantienen a sus hijas sobre tales cuestiones diciendo que mientras puedan, quieren ahorrarles los trabajos y molestias que consigo lleva el cargo de ama de casa"", ""Consentiran estos en hacer de conejo de Indias para que sus mujeres experimenten sus guisos con ellos, y si resistiran la prueba experimental sin que la felicidad  de la hija sufra?"", ""Ella es la encomendada la salud de su marido y el que este llegue a la vejez pletorico de energias y en la plenitud de sus facultades, dependera mayormente de cómo ella lo cuide, de cómo lo alimente y de que haga del hogar un sitio de paz""",Teresa de Escoriaza,marraige,"Esposa moderna, carrera matrimonial, matrimonio, preparación seria, prerrequisitos, marido, felicidad, error, poco prevenida, cursos de ciencia domesticas o clase de cocina, mujeres casadas, facultades domesticas, luna de miel, ignorancia de la novia, quehaceres domesticos, culinaria, buena cocinera, don,naturaleza, nueva esposa, madre, poco de experiencia, éxito en matrimonio, talento de ama de casa, virtudes de esposa amante, vida confortable a marido, atractivos fisicos, encantos espirituales, madre, hijas, jovenes inexperimentadas, infeliz muchacho, esposa ,envenenarle,mala comida, trabajos, molestias, ama de casa, solas, casadas, malas madres, yernos, resignación, conejo de Indias, experimenten, prueba experimental, buena ama de casa, vejez, ella lo cuide, lo alimente, hogar sitio de paz, ",Este articulo esta escrito por una autora quien claramente esta en contra de las mujeres quienes estan abiertas al modernizaje. Culpa a la madres quienes no preparan a sus hijas para asumir el rol de esposas quienes muchas no se preparan para prepararle comida a sus esposos y asumir sus responsabilidades como amas de casa,,Jessica Corona
006FC,6/21/1930,Seccion Femenil: La esposa en el hogar,El Atalaya Bautista,Spanish,"El Paso, TX","""El hombre se conforma con hallar una mujer bonita"", ""Para esposa, nadie que sea tonto, se conforma con menos que una mujer buena"", ""Engañosa es la gracia y vana la hermosura: la mujer que le teme a Jehová, esa sera alabada (Prov: 31:3)"", ""En la intimidad del hogar brilla más la bondad que la belleza"", ""Una mujer buena nunca es considerada fea. La bella puede agradar a los ojos, la buena agrada el corazón"", ""La mujer buena au que no sea bonita, es un ángel, la mujer mala, aunque sea bella, se asemeja a los demonios. La primera es un rayo constante luz en el hogar; la segunda es la destrucción del hogar"", ""La mujer no tiene potestad de su propio cuerpo, sino el marido: e igualmente tampoco el marido tiene potestad de su propio cuerpo, sino la mujer (1 Cor. 7:4)"", ""Ninguna mujer prudente debe esperar a su esposo sin estar bien arreglada, siempre que le sea posible hacerlo"", ""La mujer que quiera conservar la atencion de su marido y atraerle siempre, debe esforzarse de continuo para que él no vea ninguna otra mujer que le cause mejor impresión que ella"", ""La mujer que tiene que hacer todos los trabajos  de su casa, no puede estar siempre arreglada"", ""son los descuidos de las mujeres los que comienzan a quebrantar en los maridos el amor, y el interés que nunca debió menguar"", """,,,"Novia, hombre, mujer bonita, esposa, mujer buena, belleza física, fuego del hogar, belleza moral, la virtud, mujer buena, mujer mala, arreglada, desgreñada, ocupada, hogar, descuidos, el amor, el interés, atractivo, atenciones, cariño, corazón de un hombre",,,Jessica Corona
007FC,6/21/1930,Seccion Femenil:El feminismo,El Atalaya Bautista,Spanish,"El Paso, TX","""No me gusta el feminismo en el sentido de alejar a la mujer de su hogar, de sus hijos"", ""Pretende desviarla de su verdadero papel, del rol que la naturaleza le ha dado"", ""No me gusta que la mujer casada trabaje"", ""se va masculinizado y el hombre afeminado"", ""El marido que permite trabajar a la mujer, la entrega a la avidez del jefe o de los jefes superiores de ella"",",Gabriela Mistral ,,"Feminismo, mujer, hogar, hijos, desviarla, verdadero papel, naturaleza, derechos políticos, voto, mujer casada, trabajé, se va masculunizando, hombre afeminado, trabajo, jefes, solteras, viudas, Méjico",En esta seccion lírica Mistral expresa su pensamiento sobre el feminismo y el rol que desenvuelve la mujer que trabaja ,,Jessica Corona
008FC,9/3/1925,Union femenil y del hogar: Una buena esposa,El Atalaya Bautista,Spanish ,"El Paso, TX","""El amante corazon de la perfcta casada es incomparablemente más valioso que cuantas riquezas y refinamientos urbanos puede aportar en dote la multimillonaria al matrimonio"", ""El corazón de la mujer es como una página escrita con tinta simpática""","Presidenta: Sra. Amada T. De Garcia, Srita: Raquel A. Delgado, Tesorera: Sra. M. A De Rudd",,"Buena esposa, la moda,esclava de la moda, rica, tesoro, corazón puro, femenino, las jóvenes,belleza,mujer,vestirá, modesta elegancia, analfabeta, afectuosa, sacrificio, joven de brillante cultura, versada, simpatía, prudencia, doméstica amantes, esposas, excelentes madres, clase media social, nace, educa, buena esposa, tareas domésticas, maternidad,  ",,,Jessica Corona
009FC,5/13/1926,Union femenil y del hogar: La mujer y la familia ,El Atalaya Bautista,Spanish ,"El Paso, TX","""Toda virtud, toda gracia, toda satisfacción para la mujer se halla intimamente unida a los destinos del hogar domestico, que todas las reformas reclamadas en favor de la compañera del hombre tienden a hacerla más digna de la vida familiar""","Presidenta: Sra. Amada T. de Garcia, Tesorera: Sra. S.J. de Arévalo, Secretaria: Sra. Consuelo D. de Gurrola","marriage, household responsibilities","Virtud, gracia,mujer, hogar doméstico, hombre,compañera, vida familiar,madre familiar, titulo madre de familia, maternidad, madres, ",,,
0010FC,4/26/1935,La reserva necesaria,El Continental ,Spanish,"El Paso, TX","""Una mujer casada tiene siempre el deber de una mayor reserva que una soltera"", ""Una mujer casada por ejemplo, adivina en el acto los sentimientos que puede despertar en otro hombre"", ""Una mujer casada debe alejar a todo pretendiente por medio de una frialdad prudente y sabia, en la cual se vea sólo la indiferencia"", ""Si por desgracia no es feliz en su matrimonio, debe huir de los consuelos ajenos, que le haría aun más desgraciada""",N/A,marriage,"Mujer casada, soltera, hijos, matrimonio, consuelos ajenos, desgraciada, mujeres, esposas, pura, dulce, amante, ancianita, marido, cariño, atenciones, casada joven, sentimientos, ",,,
0011FC,8/18/1910,Lo que eace la felicida en el hogar ,El Regidor,Spanish,"San Antonio, TX","""Virtudes de la mujer""
""Un ser venerado que debe ocupar un lugar en el hogar y en el altar del corazón del hombre""​
""Una mujer sin virtudes, sin amor, sin sensibilidad, sin inteligencia, es un mueble""​
""Vacío, triste y desolado está el hogar de la mujer sin fe, sin corazón y sin virtud""​
""Un cuerpo árido e inculto es el hogar de la mujer que no es activa, que no hace las tareas del hogar, que no tiene trato afable y dulce conversación""​
""La noche sin estrellas y sin luz es el hogar donde vive una mujer sin inteligencia y sin virtud""​",N/A,"marriage, romanticized","Virtudes, mujer, hogar, hombre, inteligencia, mueble, cuerpo, feliz, buen corazón, ",,,
0012FC,1/3/1935,Mujeres casadas aprendan a conservar el amor de sus esposos,El Continental ,Spanish,"El Paso, TX","""Todas las mujeres anhelan aparecer bellas"", ""La doncella salvaje tatuá su piel, pone anillos en su nariz"", ""Una muestra de la belleza entre la mujer civilizada de hoy, es una piel suave, aterciopelada y radiante"", ",N/A,advertisment,"mujeres, belleza, doncella salvaje, mujer civilizada, hermosa, defectos, complexión, ",,,
0013FC,6/9/1906,En que consiste la belleza femenina,Clarin del Norte,Spanish,"El Paso, TX","""La mujer debe su belleza al poco esfuerzo cerebral que nace para vivir. Los estudios profundos, el trabajo intelectual constante, la obsesion y las preocupaciones ejercen una influencia perjudicial """,N/A,Investigación,,,,
0014FC,11/25/1888,Tuesday's Daily,Sunday Herald ,English ,"El Paso, TX",""" The court no doubt based its ruling on the well-known inability of a woman to hold her tongue.""",N/A,demeaning ,"woman, assaulting, ",,,
